case|value
row-001|10
row-002|20
row-003|30
row-004|40
row-005|50
row-006|60
row-007|70
row-008|80
row-009|90
row-010|100
row-011|110
row-012|120
row-013|130
row-014|140
row-015|150
row-016|160
row-017|170
row-018|180
row-019|190
row-020|200
row-021|210
row-022|220
row-023|230
row-024|240
row-025|250
row-026|260
row-027|270
row-028|280
row-029|290
row-030|300
row-031|310
row-032|320
row-033|330
row-034|340
row-035|350
row-036|360
row-037|370
row-038|380
row-039|390
row-040|400
row-041|410
row-042|420
row-043|430
row-044|440
row-045|450
row-046|460
row-047|470
row-048|480
row-049|490
row-050|500
row-051|510
row-052|520
row-053|530
row-054|540
row-055|550
row-056|560
row-057|570
row-058|580
row-059|590
row-060|600
row-061|610
row-062|620
row-063|630
row-064|640
row-065|650
row-066|660
row-067|670
row-068|680
row-069|690
row-070|700
row-071|710
row-072|720
row-073|730
row-074|740
row-075|750
row-076|760
row-077|770
row-078|780
row-079|790
row-080|800
row-081|810
row-082|820
row-083|830
row-084|840
row-085|850
row-086|860
row-087|870
row-088|880
row-089|890
row-090|900
row-091|910
row-092|920
row-093|930
row-094|940
row-095|950
row-096|960
row-097|970
row-098|980
row-099|990
row-100|1000
